Tree,Group,periodBegin,periodEnd
ET8,302,2022-12-27T19:15:00Z,2022-12-27T22:45:00Z
ET8,303,2022-12-28T21:45:00Z,2022-12-29T03:00:00Z
ET8,304,2023-01-11T21:30:00Z,2023-01-12T01:00:00Z
ET8,305,2023-01-18T00:45:00Z,2023-01-18T04:00:00Z
ET8,306,2023-02-18T01:00:00Z,2023-02-18T04:00:00Z
ET8,307,2023-03-08T19:30:00Z,2023-03-08T23:00:00Z
ET8,308,2023-03-20T19:15:00Z,2023-03-20T22:30:00Z
ET8,309,2023-04-30T02:15:00Z,2023-04-30T05:15:00Z
ET8,310,2023-05-01T20:45:00Z,2023-05-02T00:45:00Z
ET8,311,2023-06-18T01:30:00Z,2023-06-18T05:30:00Z
ET8,312,2023-06-20T01:15:00Z,2023-06-20T05:30:00Z
ET8,313,2023-06-27T19:45:00Z,2023-06-28T03:30:00Z
ET8,314,2023-07-05T19:15:00Z,2023-07-06T03:15:00Z
ET8,315,2023-07-08T20:30:00Z,2023-07-09T00:30:00Z
FB1,316,2022-06-26T18:15:00Z,2022-06-27T05:30:00Z
FB1,317,2022-06-28T00:15:00Z,2022-06-28T05:30:00Z
FB1,318,2022-07-03T22:30:00Z,2022-07-04T01:45:00Z
FB1,319,2022-07-04T19:00:00Z,2022-07-05T05:30:00Z
FB1,320,2022-07-08T00:00:00Z,2022-07-08T05:30:00Z
FB1,321,2022-07-09T21:45:00Z,2022-07-10T02:45:00Z
FB1,322,2022-07-12T01:30:00Z,2022-07-12T05:30:00Z
FB1,323,2022-07-15T18:30:00Z,2022-07-15T21:30:00Z
FB1,324,2022-07-20T00:15:00Z,2022-07-20T05:45:00Z
FB1,325,2022-07-23T18:15:00Z,2022-07-23T22:45:00Z
FB1,326,2022-07-27T02:00:00Z,2022-07-27T05:30:00Z
FB1,327,2022-07-29T01:00:00Z,2022-07-29T05:30:00Z
FB1,328,2022-07-29T18:15:00Z,2022-07-29T21:45:00Z
FB1,329,2022-07-31T23:15:00Z,2022-08-01T02:45:00Z
FB1,330,2022-08-06T18:30:00Z,2022-08-07T02:15:00Z
FB1,331,2022-08-13T19:30:00Z,2022-08-13T22:45:00Z
FB1,332,2022-08-17T01:15:00Z,2022-08-17T04:30:00Z
FB1,333,2022-08-20T01:15:00Z,2022-08-20T05:15:00Z
FB1,334,2022-08-20T19:15:00Z,2022-08-21T01:00:00Z
FB1,335,2022-08-22T01:00:00Z,2022-08-22T04:30:00Z
FB1,336,2022-09-12T00:45:00Z,2022-09-12T05:30:00Z
FB1,337,2022-09-30T00:15:00Z,2022-09-30T05:30:00Z
FB1,338,2022-10-03T17:45:00Z,2022-10-03T22:00:00Z
FB1,339,2022-10-06T17:45:00Z,2022-10-06T20:45:00Z
FB1,340,2022-10-24T01:15:00Z,2022-10-24T05:30:00Z
FB1,341,2022-10-26T17:30:00Z,2022-10-26T23:30:00Z
FB1,342,2022-10-31T17:45:00Z,2022-10-31T21:30:00Z
FB1,343,2022-11-03T21:00:00Z,2022-11-04T05:30:00Z
FB1,344,2022-11-08T02:00:00Z,2022-11-08T05:30:00Z
FB1,345,2022-12-01T22:15:00Z,2022-12-02T03:30:00Z
FB1,346,2022-12-04T17:30:00Z,2022-12-04T20:30:00Z
FB1,347,2022-12-05T01:00:00Z,2022-12-05T05:45:00Z
FB1,348,2022-12-05T19:00:00Z,2022-12-06T05:00:00Z
FB1,349,2022-12-08T02:30:00Z,2022-12-08T06:15:00Z
FB1,350,2022-12-08T17:30:00Z,2022-12-09T00:15:00Z
FB1,351,2022-12-12T17:30:00Z,2022-12-13T00:30:00Z
FB1,352,2022-12-14T19:15:00Z,2022-12-15T06:00:00Z
FB1,353,2022-12-16T21:00:00Z,2022-12-17T01:30:00Z
FB1,354,2022-12-26T01:15:00Z,2022-12-26T04:15:00Z
FB1,355,2022-12-27T23:45:00Z,2022-12-28T03:15:00Z
FB1,356,2022-12-28T22:30:00Z,2022-12-29T06:00:00Z
FB1,357,2023-01-08T02:00:00Z,2023-01-08T06:00:00Z
FB1,358,2023-01-09T21:30:00Z,2023-01-10T06:00:00Z
FB1,359,2023-01-10T23:45:00Z,2023-01-11T06:00:00Z
FB1,360,2023-01-13T18:00:00Z,2023-01-14T03:00:00Z
FB1,361,2023-01-19T20:45:00Z,2023-01-20T02:30:00Z
FB1,362,2023-01-28T18:00:00Z,2023-01-28T21:30:00Z
FB1,363,2023-02-18T19:00:00Z,2023-02-18T22:15:00Z
FB1,364,2023-02-22T18:00:00Z,2023-02-22T22:45:00Z
FB1,365,2023-02-23T03:00:00Z,2023-02-23T06:00:00Z
FB1,366,2023-03-01T23:30:00Z,2023-03-02T06:00:00Z
FB1,367,2023-03-02T18:00:00Z,2023-03-03T00:00:00Z
FB1,368,2023-03-03T21:30:00Z,2023-03-04T05:45:00Z
FB1,369,2023-03-07T22:45:00Z,2023-03-08T03:30:00Z
FB1,370,2023-03-08T18:00:00Z,2023-03-09T04:30:00Z
FB1,371,2023-03-18T00:00:00Z,2023-03-18T05:45:00Z
FB1,372,2023-03-19T18:15:00Z,2023-03-19T21:45:00Z
FB1,373,2023-03-21T00:15:00Z,2023-03-21T04:45:00Z
FB1,374,2023-04-01T20:45:00Z,2023-04-02T01:30:00Z
FB1,375,2023-04-11T18:15:00Z,2023-04-12T05:30:00Z
FB1,376,2023-04-12T18:15:00Z,2023-04-12T22:30:00Z
FB1,377,2023-04-16T01:30:00Z,2023-04-16T05:00:00Z
FB1,378,2023-04-20T18:30:00Z,2023-04-21T00:00:00Z
FB1,379,2023-05-02T01:15:00Z,2023-05-02T05:15:00Z
FB1,380,2023-05-03T20:15:00Z,2023-05-04T00:00:00Z
FB1,381,2023-05-05T18:45:00Z,2023-05-05T23:00:00Z
FB1,382,2023-05-22T18:45:00Z,2023-05-22T22:00:00Z
FB1,383,2023-06-03T18:15:00Z,2023-06-03T22:00:00Z
FB1,384,2023-06-06T18:15:00Z,2023-06-06T22:45:00Z
FB1,385,2023-06-11T18:15:00Z,2023-06-12T05:30:00Z
FB2,386,2022-06-27T21:15:00Z,2022-06-28T05:30:00Z
FB2,387,2022-07-03T20:00:00Z,2022-07-04T02:00:00Z
FB2,388,2022-07-12T21:30:00Z,2022-07-13T04:45:00Z
FB2,389,2022-07-23T18:00:00Z,2022-07-23T22:45:00Z
FB2,390,2022-07-27T01:15:00Z,2022-07-27T05:30:00Z
FB2,391,2022-07-28T23:30:00Z,2022-07-29T05:45:00Z
FB2,392,2022-07-29T18:00:00Z,2022-07-29T23:00:00Z
FB2,393,2022-08-03T22:30:00Z,2022-08-04T05:30:00Z
FB2,394,2022-08-12T22:30:00Z,2022-08-13T05:45:00Z
FB2,395,2022-08-13T18:15:00Z,2022-08-14T00:15:00Z
FB2,396,2022-08-15T18:00:00Z,2022-08-15T22:00:00Z
FB2,397,2022-08-17T00:30:00Z,2022-08-17T05:45:00Z
FB2,398,2022-08-20T18:15:00Z,2022-08-21T02:15:00Z
FB2,399,2022-08-21T18:00:00Z,2022-08-21T21:00:00Z
FB2,400,2022-08-22T00:30:00Z,2022-08-22T05:45:00Z
FB2,401,2022-08-24T00:00:00Z,2022-08-24T05:30:00Z
FB2,402,2022-08-25T00:45:00Z,2022-08-25T04:00:00Z
FB2,403,2022-08-25T23:45:00Z,2022-08-26T05:45:00Z
FB2,404,2022-08-27T22:15:00Z,2022-08-28T05:30:00Z
FB2,405,2022-08-28T23:00:00Z,2022-08-29T02:30:00Z
FB2,406,2022-08-31T02:15:00Z,2022-08-31T05:30:00Z
FB2,407,2022-08-31T23:00:00Z,2022-09-01T04:00:00Z
FB2,408,2022-09-07T00:30:00Z,2022-09-07T05:30:00Z
FB2,409,2022-09-07T23:15:00Z,2022-09-08T05:45:00Z
FB2,410,2022-09-10T21:00:00Z,2022-09-11T01:15:00Z
FB2,411,2022-09-12T00:30:00Z,2022-09-12T05:30:00Z
FB2,412,2022-09-23T01:45:00Z,2022-09-23T04:45:00Z
FB2,413,2022-09-25T01:15:00Z,2022-09-25T05:30:00Z
FB2,414,2022-10-03T17:45:00Z,2022-10-03T22:00:00Z
FB2,415,2022-10-06T17:30:00Z,2022-10-06T21:45:00Z
FB2,416,2022-10-19T02:30:00Z,2022-10-19T05:30:00Z
FB2,417,2022-10-20T00:45:00Z,2022-10-20T05:30:00Z
FB2,418,2022-10-23T22:30:00Z,2022-10-24T05:30:00Z
FB2,419,2022-10-26T17:15:00Z,2022-10-27T01:45:00Z
FB2,420,2022-10-27T22:45:00Z,2022-10-28T05:30:00Z
FB2,421,2022-10-28T17:30:00Z,2022-10-28T20:45:00Z
FB2,422,2022-10-30T17:30:00Z,2022-10-30T21:00:00Z
FB2,423,2022-10-31T18:00:00Z,2022-10-31T21:45:00Z
FB2,424,2022-11-03T22:45:00Z,2022-11-04T06:00:00Z
FB2,425,2022-11-08T00:45:00Z,2022-11-08T03:45:00Z
FB2,426,2022-11-09T23:45:00Z,2022-11-10T05:45:00Z
FB2,427,2022-11-22T17:15:00Z,2022-11-22T20:45:00Z
FB2,428,2022-11-22T21:30:00Z,2022-11-23T05:45:00Z
FB2,429,2022-12-04T17:30:00Z,2022-12-04T20:45:00Z
FB2,430,2022-12-05T18:00:00Z,2022-12-06T05:15:00Z
FB2,431,2022-12-07T17:30:00Z,2022-12-07T20:45:00Z
FB2,432,2022-12-07T22:30:00Z,2022-12-08T06:30:00Z
FB2,433,2022-12-08T17:30:00Z,2022-12-09T00:30:00Z
FB2,434,2022-12-11T01:30:00Z,2022-12-11T06:15:00Z
FB2,435,2022-12-12T17:30:00Z,2022-12-13T01:15:00Z
FB2,436,2022-12-14T19:15:00Z,2022-12-15T06:00:00Z
FB2,437,2022-12-18T23:30:00Z,2022-12-19T06:15:00Z
FB2,438,2022-12-21T20:30:00Z,2022-12-22T01:00:00Z
FB2,439,2022-12-22T03:00:00Z,2022-12-22T06:00:00Z
FB2,440,2022-12-24T17:45:00Z,2022-12-24T23:00:00Z
FB2,441,2022-12-26T00:45:00Z,2022-12-26T06:15:00Z
FB2,442,2022-12-26T17:30:00Z,2022-12-27T06:00:00Z
FB2,443,2022-12-27T23:30:00Z,2022-12-28T06:00:00Z
FB2,444,2023-01-04T01:00:00Z,2023-01-04T06:15:00Z
FB2,445,2023-01-04T19:00:00Z,2023-01-05T06:15:00Z
FB2,446,2023-01-05T17:45:00Z,2023-01-05T23:15:00Z
FB2,447,2023-01-06T01:30:00Z,2023-01-06T05:00:00Z
FB2,448,2023-01-12T20:30:00Z,2023-01-12T23:30:00Z
FB2,449,2023-01-13T23:00:00Z,2023-01-14T03:15:00Z
FB2,450,2023-01-19T18:00:00Z,2023-01-20T06:15:00Z
FB2,451,2023-01-21T18:00:00Z,2023-01-21T22:00:00Z
FB2,452,2023-01-21T23:45:00Z,2023-01-22T03:15:00Z
FB2,453,2023-01-28T17:45:00Z,2023-01-28T23:00:00Z
FB2,454,2023-01-31T18:30:00Z,2023-02-01T01:45:00Z
FB2,455,2023-02-04T20:30:00Z,2023-02-05T01:15:00Z
FB2,456,2023-02-11T18:00:00Z,2023-02-12T00:45:00Z
FB2,457,2023-02-18T18:15:00Z,2023-02-18T22:15:00Z
FB2,458,2023-02-22T17:30:00Z,2023-02-23T01:45:00Z
FB2,459,2023-02-23T02:30:00Z,2023-02-23T06:15:00Z
FB2,460,2023-02-28T17:45:00Z,2023-02-28T21:00:00Z
FB2,461,2023-03-01T17:45:00Z,2023-03-02T06:15:00Z
FB2,462,2023-03-02T18:00:00Z,2023-03-03T06:00:00Z
FB2,463,2023-03-03T18:15:00Z,2023-03-04T06:00:00Z
FB2,464,2023-03-08T00:00:00Z,2023-03-08T05:15:00Z
FB2,465,2023-03-08T18:00:00Z,2023-03-09T05:15:00Z
FB2,466,2023-03-13T02:15:00Z,2023-03-13T05:45:00Z
FB2,467,2023-03-15T01:00:00Z,2023-03-15T04:15:00Z
FB2,468,2023-03-17T18:30:00Z,2023-03-17T23:15:00Z
FB2,469,2023-03-18T00:15:00Z,2023-03-18T06:00:00Z
FB2,470,2023-03-19T18:15:00Z,2023-03-19T22:00:00Z
FB2,471,2023-03-21T23:30:00Z,2023-03-22T02:30:00Z
FB2,472,2023-03-29T18:15:00Z,2023-03-29T23:45:00Z
FB2,473,2023-04-01T22:00:00Z,2023-04-02T01:45:00Z
FB2,474,2023-04-11T18:30:00Z,2023-04-12T06:00:00Z
FB2,475,2023-04-12T18:30:00Z,2023-04-13T00:45:00Z
FB2,476,2023-04-14T18:00:00Z,2023-04-15T00:45:00Z
FB2,477,2023-04-15T18:00:00Z,2023-04-15T21:00:00Z
FB2,478,2023-04-16T01:15:00Z,2023-04-16T05:30:00Z
FB2,479,2023-04-16T18:15:00Z,2023-04-16T23:30:00Z
FB2,480,2023-04-20T18:45:00Z,2023-04-21T01:15:00Z
FB2,481,2023-05-03T19:45:00Z,2023-05-04T01:30:00Z
FB2,482,2023-05-05T18:30:00Z,2023-05-06T00:30:00Z
FB2,483,2023-05-09T19:30:00Z,2023-05-09T23:45:00Z
FB2,484,2023-05-11T20:30:00Z,2023-05-12T03:30:00Z
FB2,485,2023-05-18T18:30:00Z,2023-05-18T21:45:00Z
FB2,486,2023-05-22T19:15:00Z,2023-05-22T22:30:00Z
FB2,487,2023-06-03T18:30:00Z,2023-06-03T22:00:00Z
FB3,488,2022-06-09T23:30:00Z,2022-06-10T05:00:00Z
FB3,489,2022-06-25T00:45:00Z,2022-06-25T04:45:00Z
FB3,490,2022-06-28T02:30:00Z,2022-06-28T05:30:00Z
FB3,491,2022-07-05T02:30:00Z,2022-07-05T05:45:00Z
FB3,492,2022-07-06T00:00:00Z,2022-07-06T05:30:00Z
FB3,493,2022-07-09T23:15:00Z,2022-07-10T05:30:00Z
FB3,494,2022-07-19T22:45:00Z,2022-07-20T05:45:00Z
FB3,495,2022-07-29T18:00:00Z,2022-07-29T21:45:00Z
FB3,496,2022-08-06T21:30:00Z,2022-08-07T00:45:00Z
FB3,497,2022-08-09T23:15:00Z,2022-08-10T02:30:00Z
FB3,498,2022-08-13T00:30:00Z,2022-08-13T05:45:00Z
FB3,499,2022-08-19T22:45:00Z,2022-08-20T02:30:00Z
FB3,500,2022-08-20T19:30:00Z,2022-08-20T23:00:00Z
FB3,501,2022-08-24T00:15:00Z,2022-08-24T05:00:00Z
FB3,502,2022-09-01T18:30:00Z,2022-09-01T21:45:00Z
FB3,503,2022-09-02T00:00:00Z,2022-09-02T03:45:00Z
FB3,504,2022-09-03T23:15:00Z,2022-09-04T03:00:00Z
FB3,505,2022-09-16T00:45:00Z,2022-09-16T04:00:00Z
FB3,506,2022-09-29T01:45:00Z,2022-09-29T05:30:00Z
FB3,507,2022-09-30T00:45:00Z,2022-09-30T03:45:00Z
FB3,508,2022-10-02T23:45:00Z,2022-10-03T03:00:00Z
FB3,509,2022-10-05T19:00:00Z,2022-10-06T05:15:00Z
FB3,510,2022-10-12T00:00:00Z,2022-10-12T04:45:00Z
FB3,511,2022-10-13T23:30:00Z,2022-10-14T03:15:00Z
FB3,512,2022-10-14T22:45:00Z,2022-10-15T05:30:00Z
FB3,513,2022-10-15T23:15:00Z,2022-10-16T05:30:00Z
FB3,514,2022-10-17T00:45:00Z,2022-10-17T04:45:00Z
FB3,515,2022-10-22T22:00:00Z,2022-10-23T05:15:00Z
FB3,516,2022-10-23T17:45:00Z,2022-10-23T21:15:00Z
FB3,517,2022-10-24T20:15:00Z,2022-10-24T23:30:00Z
FB3,518,2022-10-25T00:00:00Z,2022-10-25T05:30:00Z
FB3,519,2022-10-31T17:30:00Z,2022-10-31T21:45:00Z
FB3,520,2022-11-03T21:15:00Z,2022-11-04T02:00:00Z
FB3,521,2022-11-04T02:45:00Z,2022-11-04T05:45:00Z
FB3,522,2022-11-04T18:30:00Z,2022-11-04T22:15:00Z
FB3,523,2022-11-13T19:45:00Z,2022-11-14T04:30:00Z
FB3,524,2022-11-16T22:30:00Z,2022-11-17T01:30:00Z
FB3,525,2022-11-25T01:15:00Z,2022-11-25T05:45:00Z
FB3,526,2022-11-26T00:30:00Z,2022-11-26T05:45:00Z
FB3,527,2022-11-27T23:15:00Z,2022-11-28T02:30:00Z
FB3,528,2022-11-29T00:15:00Z,2022-11-29T03:30:00Z
FB3,529,2022-11-29T22:15:00Z,2022-11-30T03:00:00Z
FB3,530,2022-12-01T22:45:00Z,2022-12-02T03:15:00Z
FB3,531,2022-12-03T19:15:00Z,2022-12-03T22:45:00Z
FB3,532,2022-12-04T02:15:00Z,2022-12-04T05:45:00Z
FB3,533,2022-12-05T19:00:00Z,2022-12-05T22:15:00Z
FB3,534,2022-12-07T02:30:00Z,2022-12-07T06:00:00Z
FB3,535,2022-12-07T17:30:00Z,2022-12-07T20:30:00Z
FB3,536,2022-12-07T21:45:00Z,2022-12-08T01:15:00Z
FB3,537,2022-12-08T02:00:00Z,2022-12-08T06:15:00Z
FB3,538,2022-12-08T17:30:00Z,2022-12-09T00:15:00Z
FB3,539,2022-12-09T02:30:00Z,2022-12-09T05:30:00Z
FB3,540,2023-01-07T23:45:00Z,2023-01-08T05:15:00Z
FB3,541,2023-01-09T20:00:00Z,2023-01-10T06:15:00Z
FB3,542,2023-01-11T01:45:00Z,2023-01-11T06:15:00Z
FB3,543,2023-01-11T23:45:00Z,2023-01-12T04:00:00Z
FB3,544,2023-01-13T19:15:00Z,2023-01-14T03:00:00Z
FB3,545,2023-01-19T18:00:00Z,2023-01-19T23:00:00Z
FB3,546,2023-01-22T23:30:00Z,2023-01-23T02:30:00Z
FB3,547,2023-01-25T00:15:00Z,2023-01-25T05:30:00Z
FB3,548,2023-02-09T02:00:00Z,2023-02-09T06:15:00Z
FB3,549,2023-02-09T21:15:00Z,2023-02-10T00:15:00Z
FB3,550,2023-02-20T02:45:00Z,2023-02-20T06:15:00Z
FB3,551,2023-02-22T17:45:00Z,2023-02-22T21:45:00Z
FB3,552,2023-02-23T21:15:00Z,2023-02-24T01:00:00Z
FB3,553,2023-02-26T21:15:00Z,2023-02-27T06:00:00Z
FB3,554,2023-02-28T23:15:00Z,2023-03-01T06:00:00Z
FB3,555,2023-03-01T18:00:00Z,2023-03-02T06:15:00Z
FB3,556,2023-03-02T18:00:00Z,2023-03-03T01:15:00Z
FB3,557,2023-03-08T18:00:00Z,2023-03-08T23:30:00Z
FB3,558,2023-03-18T00:30:00Z,2023-03-18T05:45:00Z
FB3,559,2023-03-29T00:30:00Z,2023-03-29T05:45:00Z
FB3,560,2023-04-01T22:00:00Z,2023-04-02T01:30:00Z
FB3,561,2023-04-05T22:00:00Z,2023-04-06T02:15:00Z
FB3,562,2023-04-09T01:30:00Z,2023-04-09T04:45:00Z
FB3,563,2023-04-11T18:00:00Z,2023-04-11T21:15:00Z
FB3,564,2023-04-12T18:15:00Z,2023-04-13T02:45:00Z
FB3,565,2023-04-20T20:00:00Z,2023-04-20T23:30:00Z
FB3,566,2023-04-30T00:45:00Z,2023-04-30T04:15:00Z
FB3,567,2023-05-01T23:30:00Z,2023-05-02T03:30:00Z
FB3,568,2023-05-03T00:30:00Z,2023-05-03T05:30:00Z
FB3,569,2023-05-05T19:00:00Z,2023-05-05T22:45:00Z
FB3,570,2023-05-09T18:45:00Z,2023-05-09T23:15:00Z
FB3,571,2023-06-03T18:15:00Z,2023-06-03T22:00:00Z
FB4,572,2022-06-26T19:15:00Z,2022-06-26T22:15:00Z
FB4,573,2022-06-28T02:30:00Z,2022-06-28T05:45:00Z
FB4,574,2022-07-03T22:30:00Z,2022-07-04T01:45:00Z
FB4,575,2022-07-04T21:15:00Z,2022-07-05T05:45:00Z
FB4,576,2022-07-06T00:00:00Z,2022-07-06T05:30:00Z
FB4,577,2022-07-09T23:00:00Z,2022-07-10T05:45:00Z
FB4,578,2022-07-19T23:00:00Z,2022-07-20T05:45:00Z
FB4,579,2022-07-29T18:00:00Z,2022-07-29T21:45:00Z
FB4,580,2022-08-06T21:00:00Z,2022-08-07T00:45:00Z
FB4,581,2022-08-13T00:00:00Z,2022-08-13T05:45:00Z
FB4,582,2022-08-20T19:30:00Z,2022-08-20T23:00:00Z
FB4,583,2022-08-24T00:15:00Z,2022-08-24T05:30:00Z
FB4,584,2022-09-02T00:00:00Z,2022-09-02T03:30:00Z
FB4,585,2022-09-03T23:15:00Z,2022-09-04T03:00:00Z
FB4,586,2022-09-07T22:00:00Z,2022-09-08T01:15:00Z
FB4,587,2022-09-10T22:15:00Z,2022-09-11T01:15:00Z
FB4,588,2022-09-12T00:45:00Z,2022-09-12T04:45:00Z
FB4,589,2022-09-23T18:30:00Z,2022-09-23T21:30:00Z
FB4,590,2022-09-25T20:30:00Z,2022-09-26T02:00:00Z
FB4,591,2022-09-30T00:45:00Z,2022-09-30T03:45:00Z
FB4,592,2022-10-02T23:45:00Z,2022-10-03T05:30:00Z
FB4,593,2022-10-03T17:45:00Z,2022-10-03T21:45:00Z
FB4,594,2022-10-05T23:45:00Z,2022-10-06T03:15:00Z
FB4,595,2022-10-12T17:15:00Z,2022-10-12T20:30:00Z
FB4,596,2022-10-14T22:45:00Z,2022-10-15T05:15:00Z
FB4,597,2022-10-31T17:30:00Z,2022-10-31T21:45:00Z
FB4,598,2022-11-01T02:45:00Z,2022-11-01T05:45:00Z
FB4,599,2022-11-03T21:30:00Z,2022-11-04T01:45:00Z
FB4,600,2022-11-04T03:00:00Z,2022-11-04T06:00:00Z
